🏥 MEDICAL STREAM — Complete A to Z Career Guide (12th Biology → All Paths),,,,,,,,
Covers: Pure Medicine • Dental • Ayush • Nursing • Allied Health • Pharmacy • Paramedical • Research • Zoology/Botany/Life Sciences • Public Health • Vet • Defence,,,,,,,,
🩺 SECTION 1 — PURE MEDICINE | NEET-UG Required,,,,,,,,
Career / Course,Category,Duration,Entrance Exam,Realistic Cutoff,Govt. Cost (₹/yr),Private Cost (₹/yr),Avg Monthly Salary,Employment Rate
MBBS (Bachelor of Medicine & Surgery),Pure Medicine,5.5 yrs,NEET-UG,"Govt: 600+ / 720
Private: 550+ / 720
Deemed: 500+",₹10K–80K,₹10L–25L,₹80K–2L+,98%
MD / MS (Post Graduate Medicine),PG Medicine,3 yrs after MBBS,NEET-PG,Top 10–20% of MBBS passouts,₹30K–1L,₹5L–20L,₹1.5L–10L+,99%
DNB (Diplomate National Board),PG Medicine,3 yrs after MBBS,NEET-PG / DNB CET,Similar to MD/MS,₹50K–2L,₹3L–15L,₹1.5L–8L,98%
DM / MCh (Super Speciality),Super Spec.,3 yrs after MD/MS,NEET-SS,Top 5% of MD/MS,₹50K–1L,₹5L–20L,₹3L–20L+,99%
MBBS + MPH (Public Health),Public Health,5.5 + 2 yrs,NEET-UG then merit,600+ NEET,₹10K–80K + ₹50K–2L,₹10L–25L + ₹1L–3L,₹1L–3L,92%
🦷 SECTION 2 — DENTAL | NEET-UG Required,,,,,,,,
Career / Course,Category,Duration,Entrance Exam,Realistic Cutoff,Govt. Cost (₹/yr),Private Cost (₹/yr),Avg Monthly Salary,Employment Rate
BDS (Bachelor of Dental Surgery),Dentistry,5 yrs,NEET-UG,450–550 / 720,₹20K–1L,₹2L–8L,₹40K–80K,82%
MDS (Master of Dental Surgery),PG Dental,3 yrs after BDS,NEET-MDS,Top 20% BDS,₹50K–2L,₹3L–10L,₹80K–3L,88%
Diploma in Dental Hygiene,Dental Allied,2 yrs,State Board,50%+ in 12th,₹10K–30K,₹30K–80K,₹18K–35K,80%
🌿 SECTION 3 — AYUSH (Alternative Medicine) | NEET-UG Required,,,,,,,,
Career / Course,Category,Duration,Entrance Exam,Realistic Cutoff,Govt. Cost (₹/yr),Private Cost (₹/yr),Avg Monthly Salary,Employment Rate
BAMS (Bachelor of Ayurvedic Medicine & Surgery),Ayurveda,5.5 yrs,NEET-UG,350–450 / 720,₹10K–50K,₹50K–2L,₹30K–60K,78%
BHMS (Bachelor of Homeopathic Medicine),Homeopathy,5.5 yrs,NEET-UG,300–400 / 720,₹10K–40K,₹40K–1.5L,₹25K–50K,72%
BUMS (Bachelor of Unani Medicine),Unani,5.5 yrs,NEET-UG,280–380 / 720,₹10K–40K,₹40K–1.5L,₹22K–45K,68%
BNYS (Bachelor of Naturopathy & Yoga),Naturopathy,5.5 yrs,NEET-UG / State,250–350 / 720,₹15K–50K,₹50K–1.5L,₹20K–45K,70%
BSMS (Bachelor of Siddha Medicine),Siddha,5.5 yrs,NEET-UG,280–380 / 720,₹10K–40K,₹40K–1.5L,₹20K–40K,65%
MD (Ayurveda / Homeopathy / Unani) — PG,AYUSH PG,3 yrs after BAMS/BHMS/BUMS,AIAPGET,Merit based,₹20K–80K,₹1L–4L,₹50K–1.5L,75%
💉 SECTION 4 — NURSING,,,,,,,,
Career / Course,Category,Duration,Entrance Exam,Realistic Cutoff,Govt. Cost (₹/yr),Private Cost (₹/yr),Avg Monthly Salary,Employment Rate
B.Sc Nursing (4 yr),Nursing,4 yrs,NEET-UG / State CET / AIIMS,200–350 NEET / 60% 12th,₹10K–50K,₹80K–2.5L,₹25K–60K,92%
B.Sc Nursing (Post Basic — for ANMs),Nursing PB,2 yrs,State CET,ANM + experience,₹10K–30K,₹40K–1L,₹30K–65K,90%
M.Sc Nursing,PG Nursing,2 yrs,State / University CET,B.Sc Nursing + merit,₹20K–80K,₹80K–2L,₹45K–1.2L,93%
ANM (Auxiliary Nurse Midwife),Nursing,2 yrs,State Board,50%+ in 12th,₹5K–15K,₹20K–50K,₹15K–28K,88%
GNM (General Nursing & Midwifery),Nursing,3 yrs,State Board / Merit,50–60% in 12th,₹5K–20K,₹30K–80K,₹18K–35K,87%
Ph.D Nursing (Research),Research,3–5 yrs,University entrance,M.Sc Nursing + NET,₹20K–50K,₹50K–1.5L,₹60K–1.5L,85%
💊 SECTION 5 — PHARMACY,,,,,,,,
Career / Course,Category,Duration,Entrance Exam,Realistic Cutoff,Govt. Cost (₹/yr),Private Cost (₹/yr),Avg Monthly Salary,Employment Rate
D.Pharm (Diploma in Pharmacy),Pharmacy,2 yrs,State Board / Merit,50%+ in 12th (PCB/PCM),₹10K–30K,₹30K–80K,₹18K–35K,80%
B.Pharm (Bachelor of Pharmacy),Pharmacy,4 yrs,State CET / NEET optional,50–65% in 12th,₹20K–80K,₹80K–2L,₹25K–55K,82%
Pharm.D (Doctor of Pharmacy),Clinical Pharmacy,6 yrs,NEET-UG / State,50–60% 12th / NEET 250+,₹30K–1L,₹1L–3L,₹35K–90K,83%
M.Pharm (Master of Pharmacy),PG Pharmacy,2 yrs after B.Pharm,GPAT / State CET,GPAT Top 30%,₹20K–60K,₹60K–1.5L,₹35K–80K,80%
Ph.D Pharmacy,Research,3–5 yrs,GPAT + University,M.Pharm + NET/GPAT,₹15K–40K,₹40K–1.5L,₹50K–1.5L,78%
🏥 SECTION 6 — ALLIED HEALTH & PARAMEDICAL (A to Z),,,,,,,,
Career / Course,Category,Duration,Entrance Exam,Realistic Cutoff,Govt. Cost (₹/yr),Private Cost (₹/yr),Avg Monthly Salary,Employment Rate
"MRIT / BMRIT (Medical Radiation & Imaging Tech — X-Ray, MRI, CT)",Radiology,3–4 yrs,State CET / Merit,50–65% in 12th PCB,₹10K–40K,₹60K–1.5L,₹25K–55K,88%
BRIT (Bachelor of Radiation Imaging Tech),Radiology,3 yrs,State CET / Merit,50–60% in 12th,₹10K–35K,₹50K–1.2L,₹22K–50K,85%
Radiotherapy Technology (B.Sc),Radiation Therapy,3 yrs,State CET / Merit,55–65% in 12th,₹10K–40K,₹50K–1.2L,₹22K–50K,84%
Nuclear Medicine Technology,Nuclear Medicine,3 yrs,State / AIIMS CET,60%+ in 12th,₹15K–50K,₹60K–1.5L,₹30K–70K,82%
BPT (Bachelor of Physiotherapy),Physiotherapy,4.5 yrs,NEET optional / State CET,200–350 NEET / 60% 12th,₹15K–60K,₹80K–2.5L,₹30K–70K,85%
MPT (Master of Physiotherapy),PG Physio,2 yrs after BPT,State CET / Merit,BPT + merit,₹20K–70K,₹80K–2L,₹50K–1.2L,87%
BOT (Bachelor of Occupational Therapy),OT,4.5 yrs,State CET / Merit,55–65% in 12th,₹15K–50K,₹80K–2L,₹25K–60K,80%
BASLP (Audiology & Speech-Language Pathology),Audiology,4 yrs,State CET / AIIMS,60%+ in 12th,₹15K–50K,₹80K–2L,₹25K–60K,80%
B.Sc Optometry,Eye Care,4 yrs,State CET / Merit,55–65% in 12th,₹10K–40K,₹60K–1.5L,₹22K–55K,82%
B.Sc Medical Lab Technology (BMLT),Lab,3 yrs,State CET / Merit,50–60% in 12th,₹10K–40K,₹40K–1L,₹20K–45K,85%
DMLT (Diploma in Medical Lab Tech),Lab,2 yrs,State Board,50%+ in 12th,₹5K–20K,₹20K–60K,₹15K–30K,82%
B.Sc Operation Theatre Technology (OTT),OT Tech,3 yrs,State CET / Merit,50–60% in 12th,₹10K–35K,₹40K–1L,₹20K–42K,83%
B.Sc Anaesthesia Technology,Anaesthesia,3 yrs,State CET,50–60% in 12th,₹10K–35K,₹40K–1.2L,₹22K–45K,80%
B.Sc Cardiac Care Technology (CCT),Cardiology Tech,3 yrs,State CET / Merit,55–65% in 12th,₹10K–40K,₹50K–1.2L,₹25K–55K,82%
B.Sc Echocardiography / Echo Tech,Echo,3 yrs,State CET / Merit,55%+ in 12th,₹10K–35K,₹40K–1L,₹25K–55K,80%
B.Sc Dialysis Technology,Nephrology Tech,3 yrs,State CET / Merit,50–60%,₹10K–35K,₹40K–1L,₹20K–40K,80%
B.Sc Perfusion Technology,Cardiac Surgery,3–4 yrs,State CET / Merit,55–65%,₹15K–50K,₹60K–1.5L,₹30K–80K,85%
B.Sc Neurophysiology / EEG Tech,Neurology,3 yrs,State CET,50–60%,₹10K–35K,₹40K–1L,₹22K–50K,78%
B.Sc Gastroenterology Technology,GI Tech,3 yrs,State CET,50–60%,₹10K–35K,₹40K–1L,₹20K–42K,75%
B.Sc Renal Dialysis,Nephrology,3 yrs,State CET,50–60%,₹10K–30K,₹35K–80K,₹20K–40K,78%
B.Sc Respiratory Therapy,Pulmonology,3 yrs,State CET / Merit,55–65%,₹10K–40K,₹50K–1.2L,₹22K–50K,80%
B.Sc Critical Care Technology (ICU Tech),ICU,3 yrs,State CET,55–65%,₹10K–40K,₹50K–1.2L,₹22K–50K,82%
Emergency Medical Technician (EMT / Paramedic),Emergency,1–2 yrs,State / NAEMSP,50%+ in 12th,₹5K–20K,₹20K–60K,₹15K–35K,85%
B.Sc Trauma Care & Management,Emergency,3 yrs,State CET,50–60%,₹10K–35K,₹40K–1L,₹20K–40K,78%
B.Sc Medical Imaging Tech (MRI Specialist),MRI,3 yrs,State CET / Merit,55–65%,₹10K–40K,₹50K–1.5L,₹25K–60K,85%
B.Sc Prosthetics & Orthotics,Rehab Tech,4 yrs,State CET / NIVH,55–65%,₹10K–40K,₹60K–1.5L,₹25K–55K,80%
B.Sc Radiological Physics,Medical Physics,3 yrs,State CET,60–70%,₹10K–40K,₹50K–1.2L,₹30K–70K,80%
B.Sc Medical Records Management,Health Informatics,3 yrs,Merit,50–60%,₹5K–20K,₹20K–60K,₹15K–30K,75%
B.Sc Health Information Management,HIM,3 yrs,Merit / State CET,50–65%,₹5K–25K,₹25K–70K,₹18K–35K,76%
B.Sc Radiography (Conventional / Digital),X-Ray,3 yrs,State CET,50–60%,₹8K–35K,₹40K–1L,₹20K–45K,82%
Diploma in Radiography,X-Ray,2 yrs,State Board,50%+ in 12th,₹5K–20K,₹20K–60K,₹15K–30K,78%
B.Sc Medical Sociology / Hospital Management,Health Admin,3–4 yrs,Merit / Entrance,55–65%,₹10K–40K,₹50K–1.5L,₹25K–60K,78%
Diploma in Health Inspector / Sanitarian,Public Health,2 yrs,State Board,50%+ in 12th,₹5K–20K,₹20K–50K,₹18K–38K,82%
"🥗 SECTION 7 — NUTRITION, DIETETICS & FOOD SCIENCE",,,,,,,,
Career / Course,Category,Duration,Entrance Exam,Realistic Cutoff,Govt. Cost (₹/yr),Private Cost (₹/yr),Avg Monthly Salary,Employment Rate
B.Sc Nutrition & Dietetics,Nutrition,3 yrs,Merit / State CET,55–65% in 12th,₹10K–40K,₹40K–1.2L,₹20K–50K,75%
B.Sc Food Science & Technology,Food Science,3 yrs,Merit / CUET,55–65%,₹10K–40K,₹40K–1L,₹20K–50K,74%
B.Sc Food Technology & Quality Control,Food Tech,3 yrs,Merit,55–65%,₹10K–35K,₹35K–1L,₹20K–45K,72%
M.Sc Nutrition & Dietetics,PG Nutrition,2 yrs,State / University CET,B.Sc + merit,₹15K–50K,₹50K–1.5L,₹30K–70K,78%
M.Sc Clinical Nutrition,Clinical Nutrition,2 yrs,CUET / State,B.Sc + merit,₹20K–60K,₹60K–1.5L,₹35K–80K,80%
PG Diploma in Dietetics (Hospital),Dietetics,1 yr,Merit / Hospital Entrance,B.Sc + 55%,₹10K–30K,₹30K–80K,₹25K–55K,80%
"🔬 SECTION 8 — LIFE SCIENCES, RESEARCH & BIOTECHNOLOGY",,,,,,,,
Career / Course,Category,Duration,Entrance Exam,Realistic Cutoff,Govt. Cost (₹/yr),Private Cost (₹/yr),Avg Monthly Salary,Employment Rate
B.Sc Zoology,Life Science,3 yrs,Merit / CUET,60–70% in 12th,₹3K–20K,₹20K–80K,₹18K–40K,65%
B.Sc Botany,Life Science,3 yrs,Merit / CUET,60–70%,₹3K–20K,₹20K–70K,₹18K–38K,62%
B.Sc Biology (General),Life Science,3 yrs,Merit / CUET,55–70%,₹3K–15K,₹15K–60K,₹15K–35K,60%
B.Sc Microbiology,Microbiology,3 yrs,Merit / CUET,60–70%,₹5K–25K,₹25K–80K,₹20K–45K,70%
B.Sc Biotechnology,Biotech,3 yrs,Merit / CUET,65–75%,₹5K–30K,₹40K–1.2L,₹22K–60K,72%
B.Sc Genetics,Genetics,3 yrs,Merit / CUET,65–75%,₹5K–25K,₹30K–1L,₹22K–55K,68%
B.Sc Biochemistry,Biochemistry,3 yrs,Merit / CUET,65–75%,₹5K–25K,₹30K–1L,₹20K–50K,68%
B.Sc Bioinformatics,Bioinformatics,3 yrs,Merit / CUET,65–75%,₹5K–30K,₹40K–1.2L,₹25K–70K,72%
B.Sc Neuroscience,Neuroscience,3 yrs,Merit / University,65–75%,₹10K–40K,₹50K–1.5L,₹25K–70K,70%
B.Sc Immunology,Immunology,3 yrs,Merit / University,65–75%,₹10K–35K,₹40K–1.2L,₹25K–65K,70%
B.Sc Ecology & Environmental Science,Ecology,3 yrs,Merit / CUET,55–70%,₹3K–20K,₹20K–80K,₹18K–45K,65%
B.Sc Marine Biology,Marine Science,3 yrs,Merit / University,60–70%,₹5K–25K,₹30K–1L,₹20K–45K,60%
B.Sc Forensic Science (Biology),Forensic,3 yrs,State CET / Merit,60–70%,₹5K–25K,₹30K–1L,₹22K–55K,70%
M.Sc Zoology / Botany / Biology,PG Life Sci,2 yrs,IIT JAM / State CET,B.Sc + 55–60%,₹5K–30K,₹30K–80K,₹25K–60K,68%
M.Sc Biotechnology / Microbiology,PG Biotech,2 yrs,IIT JAM / CUET PG,B.Sc + 60%,₹10K–40K,₹40K–1.2L,₹30K–80K,72%
M.Sc Biochemistry / Genetics,PG Biochem,2 yrs,IIT JAM / CUET PG,B.Sc + 60%,₹10K–40K,₹40K–1.2L,₹30K–75K,70%
PhD Life Sciences / Biotech / Microbio,Research,4–6 yrs,CSIR-NET / DBT / ICMR JRF,M.Sc + NET/JRF,₹0–20K (JRF stipend: ₹31K/mo),N/A,₹50K–2L (academia/industry),78%
CSIR Scientist (after PhD),Research Career,PhD + experience,CSIR-NET → interview,JRF → SRF → Scientist,Govt salary,N/A,₹56K–1.7L (Scientist B–G),100% (Govt)
ICMR / DBT / DST Scientist,Research Career,PhD + experience,ICMR JRF / DBT BET,Merit + interview,Govt salary,N/A,₹56K–1.5L,100% (Govt)
🐾 SECTION 9 — VETERINARY SCIENCE,,,,,,,,
Career / Course,Category,Duration,Entrance Exam,Realistic Cutoff,Govt. Cost (₹/yr),Private Cost (₹/yr),Avg Monthly Salary,Employment Rate
BVSc & AH (Bachelor of Vet Science & Animal Husbandry),Veterinary,5.5 yrs,NEET-UG / State Vet CET,400–500 NEET,₹20K–80K,₹1L–3L,₹30K–80K,82%
MVSc (Master of Vet Science),PG Vet,2 yrs,ICAR AIEEA-PG,BVSc + merit,₹20K–60K,₹60K–1.5L,₹50K–1.5L,84%
PhD Veterinary Science,Research,3–5 yrs,ICAR JRF,MVSc + NET,₹5K–20K (JRF stipend),N/A,₹60K–1.5L,80%
"🌍 SECTION 10 — PUBLIC HEALTH, EPIDEMIOLOGY & HOSPITAL MANAGEMENT",,,,,,,,
Career / Course,Category,Duration,Entrance Exam,Realistic Cutoff,Govt. Cost (₹/yr),Private Cost (₹/yr),Avg Monthly Salary,Employment Rate
MPH (Master of Public Health),Public Health,2 yrs,AIIMS / TISS / State,Any health degree + entrance,₹20K–80K,₹1L–4L,₹50K–1.5L,85%
B.Sc Public Health,Public Health,3 yrs,Merit / CUET,55–65%,₹5K–25K,₹30K–1L,₹20K–45K,72%
MHA (Master of Hospital Administration),Hospital Mgmt,2 yrs,AIIMS / NIMHANS / State,Any grad + entrance,₹30K–1L,₹1L–4L,₹50K–1.5L,85%
BHA (Bachelor of Hospital Administration),Hospital Admin,3 yrs,Merit / Entrance,60–70%,₹10K–40K,₹50K–1.5L,₹25K–60K,78%
M.Sc Epidemiology,Epidemiology,2 yrs,AIIMS / PGIMER,MBBS / B.Sc + entrance,₹20K–60K,₹80K–2L,₹50K–1.5L,80%
PG Diploma in Health Management (PGHM),Health Mgmt,1 yr,IGNOU / SIHFW / State,Any grad + 1 yr exp,₹10K–30K,₹30K–80K,₹30K–70K,78%
🧠 SECTION 11 — PSYCHOLOGY & MENTAL HEALTH,,,,,,,,
Career / Course,Category,Duration,Entrance Exam,Realistic Cutoff,Govt. Cost (₹/yr),Private Cost (₹/yr),Avg Monthly Salary,Employment Rate
B.A / B.Sc Psychology,Psychology,3 yrs,Merit / CUET,60–75%,₹3K–20K,₹30K–1L,₹20K–50K,70%
M.Sc Clinical Psychology,Clinical Psych,2 yrs,NIMHANS / AIIMS / State,B.Sc Psych + entrance,₹10K–40K,₹60K–2L,₹30K–80K,80%
MA Counselling Psychology,Counselling,2 yrs,State / University,B.A Psych + merit,₹10K–40K,₹50K–1.5L,₹25K–65K,75%
M.Phil Clinical Psychology (RCI licensed),Clinical Psych,2 yrs,NIMHANS / AIIMS,M.Sc Psych + entrance,₹15K–50K,₹60K–2L,₹40K–1.2L,85%
PhD Psychology,Research / Clinical,3–5 yrs,UGC NET / NIMHANS,M.Sc + NET,₹5K–20K,₹50K–1.5L,₹50K–1.5L,78%
"🧘 SECTION 12 — YOGA, NATUROPATHY & WELLNESS",,,,,,,,
Career / Course,Category,Duration,Entrance Exam,Realistic Cutoff,Govt. Cost (₹/yr),Private Cost (₹/yr),Avg Monthly Salary,Employment Rate
B.Sc Yoga Science,Yoga,3 yrs,Merit / University,50–60%,₹5K–20K,₹20K–60K,₹18K–40K,65%
M.Sc Yoga & Naturopathy,Yoga PG,2 yrs,University / Merit,B.Sc + merit,₹10K–30K,₹30K–80K,₹22K–50K,65%
Certificate / Diploma in Yoga Therapy,Yoga Therapy,6 months–1 yr,Merit,50%+ in 12th,₹3K–15K,₹15K–40K,₹15K–35K,60%
🎖️ SECTION 13 — DEFENCE MEDICAL SERVICES,,,,,,,,
Career / Course,Category,Duration,Entrance Exam,Realistic Cutoff,Govt. Cost (₹/yr),Private Cost (₹/yr),Avg Monthly Salary,Employment Rate
AFMC MBBS (Armed Forces Medical College),Defence Medicine,5.5 yrs,NEET-UG + AFMC Entrance,600+ NEET + SSB,Fully Funded,N/A,₹56K–1.5L+ (Army Officer pay),100%
Short Service Commission (Medical),Defence,After MBBS,UPSC / SSB Interview,MBBS + SSB,N/A,N/A,₹56K–1.7L,100% (Govt)
Military Nursing Service (MNS),Defence Nursing,B.Sc Nursing + Commission,MNS Entrance + SSB,B.Sc Nursing + merit,Fully Funded,N/A,₹40K–1.2L,100%
Central Health Service (CHS),Govt Health,After MBBS + MD,UPSC CHS Exam,MBBS + PG preferred,N/A,N/A,₹56K–1.5L,100% (Govt)
🌺 SECTION 14 — TRADITIONAL & COMPLEMENTARY MEDICINE,,,,,,,,
Career / Course,Category,Duration,Entrance Exam,Realistic Cutoff,Govt. Cost (₹/yr),Private Cost (₹/yr),Avg Monthly Salary,Employment Rate
Certificate in Panchakarma (Ayurveda),Ayurveda,6 months–1 yr,BAMS preferred / Merit,BAMS or 12th Bio,₹5K–20K,₹20K–60K,₹18K–40K,72%
Diploma in Acupuncture,Complementary,1 yr,State Board,50%+ 12th,₹5K–15K,₹15K–40K,₹15K–35K,60%
Certificate in Traditional Medicine,Traditional,6 months,Ministry of AYUSH / State,50%+ 12th,₹3K–10K,₹10K–30K,₹12K–30K,55%
,,,,,,,,
COMMERCE STREAM — Complete Career Guide (12th Commerce All Paths),,,,,,,,
CA / CMA / CS • Banking • BBA / B.Com • MBA • Law • Govt Jobs • Finance / Insurance • Actuarial • Economics • Digital Marketing • Entrepreneurship,,,,,,,,
SECTION 1 — PROFESSIONAL COURSES (Exam / Body Based — No Degree Required),,,,,,,,
Career / Course,Category,Duration,Entrance Exam,Realistic Cutoff,Govt. Cost (₹/yr),Private Cost (₹/yr),Avg Monthly Salary,Employment Rate
CA (Chartered Accountant),Finance / Audit,4–5 yrs total,"CA Foundation → Inter → Final
(ICAI)","Final pass %: ~10–15%
High dedication required",₹30K–50K (total ICAI fees),N/A (ICAI body),₹60K–5L+,95%
CMA (Cost & Management Accountant),Cost / Finance,3–4 yrs,"CMA Foundation → Inter → Final
(ICMAI)",Pass %: ~20–25%,₹20K–40K total,N/A,₹40K–2L,85%
CS (Company Secretary),Corporate Law,3–4 yrs,"CS Foundation → Executive → Prof
(ICSI)",Pass %: ~20%,₹15K–30K total,N/A,₹35K–1.5L,82%
CA + CFA (International combo),Finance,CA + 2–3 yrs CFA,"CA first, then CFA L1/L2/L3",CA pass + CFA self study,₹30K–50K CA + ₹1–2L CFA fees,N/A,₹1L–5L+,92%
Actuarial Science (IAI / IFoA),Insurance / Risk,5–8 yrs (15 exams),"IAI Actuarial Exams
(Indian & UK boards)",Very high — top 1–2% of aspirants,₹20K–50K (exam fees),N/A,₹60K–5L+,95%
CFA (Chartered Financial Analyst),Investment / Finance,2–4 yrs,"CFA L1 → L2 → L3
(CFA Institute, USA)",L1 Pass %: ~40%; L3: ~50%,N/A (USD fees ~$900–1300 per level),N/A,₹80K–5L (global scope),90%
FRM (Financial Risk Manager),Risk Management,1–2 yrs,"FRM Part 1 + Part 2
(GARP, USA)",Pass %: ~40–50%,N/A (USD fees),N/A,₹70K–3L,88%
SECTION 2 — BANKING & GOVERNMENT FINANCE JOBS,,,,,,,,
Career / Course,Category,Duration,Entrance Exam,Realistic Cutoff,Govt. Cost (₹/yr),Private Cost (₹/yr),Avg Monthly Salary,Employment Rate
IBPS PO / SBI PO (Probationary Officer),Banking,1–2 yrs prep,IBPS PO / SBI PO Exam,Top 1–3% of applicants,₹0 (exam fee only),N/A,₹40K–80K,Govt Job
IBPS Clerk / SBI Clerk,Banking,6 months–1 yr prep,IBPS Clerk / SBI Clerk,Top 5–8%,₹0,N/A,₹28K–50K,Govt Job
RBI Grade B Officer,Banking / Regulation,6 months–1 yr prep,RBI Grade B Exam,Very competitive — top 0.5%,₹0,N/A,₹60K–1L+,Govt Job
NABARD Grade A / B,Development Finance,6 months prep,NABARD Exam,Top 1–2%,₹0,N/A,₹55K–90K,Govt Job
