PATHSAATHI — INTEREST QUESTION BANK | Tiya · Day 2,,,,,,
10 questions per stream × 4 streams = 40 questions. Each answer maps to a career trait fed into Gemini's student profile.,,,,,,
STREAM 1 — MEDICAL (shown after student selects Medical stream),,,,,,
Q #,Question,Option A,Option B,Option C,Option D,Maps To Trait
M1,"When you imagine yourself working in healthcare 10 years from now, where do you picture yourself?",In a hospital treating patients directly,In a research lab discovering cures,In a community helping large groups stay healthy,Running a pharmacy or health business,Patient care / Research / Public health / Entrepreneurship
M2,A patient comes in with an unknown condition. What excites you most?,Diagnosing and treating them immediately,Running tests and analysing results,Understanding how their lifestyle caused it,Finding which medicine works best,Clinical / Diagnostic / Preventive / Pharmacology
M3,How do you feel about long years of study (5–8 years) before you earn well?,Totally fine — I am committed to medicine fully,Okay if I can specialise in something I love,I prefer a 3-yr course and start working sooner,I want to study and earn simultaneously,MBBS/PG / Specialist / Allied / Pharmacy
M4,Which subject in biology class did you enjoy most?,Human physiology and anatomy,Genetics and cell biology,Ecology and environment,Chemistry of medicines and drugs,Clinical / Research-Bio / Public health / Pharma
M5,"How comfortable are you with physical contact with patients (injections, examinations)?",Very comfortable — I want direct patient contact daily,Somewhat — I prefer minimal contact,I prefer working with machines and equipment,I prefer working with data and reports,Doctor/Nurse / AYUSH / Allied Tech / Informatics
M6,What kind of work environment suits you best?,Fast-paced emergency or OT setting,Quiet lab or research setting,Community / outdoor fieldwork,Office or hospital admin setting,Emergency/Surgery / Research / Public health / Admin
M7,"If you had to choose only one, what matters most to you in a career?",Saving individual lives directly,Discovering something new for humanity,Improving health of communities and society,Financial stability and business growth,Clinical doctor / Researcher / Public health / Entrepreneur
M8,How do you feel about working night shifts and long unpredictable hours?,I accept it fully — it comes with the profession,I can manage a few years but want balance later,I strongly prefer fixed day hours,I prefer to set my own schedule,MBBS/Nursing / Allied / Dietitian / Private practice
M9,Which allied field sounds most interesting to you?,"Imaging — X-Ray, MRI, CT scans (MRIT/Radiology)",Rehab — Physiotherapy or Occupational Therapy,"Lab work — testing blood, tissues, cultures","Nutrition, diet and preventive wellness",Radiology tech / Physio/OT / Lab tech / Dietitian
M10,What is your family's approximate annual income? (This helps match scholarships),Below ₹2.5 lakh,₹2.5 lakh – ₹6 lakh,₹6 lakh – ₹12 lakh,Above ₹12 lakh,Scholarship eligibility filter for Gemini
,,,,,,
STREAM 2 — NON-MEDICAL (shown after student selects Non-Medical / Engineering stream),,,,,,
Q #,Question,Option A,Option B,Option C,Option D,Maps To Trait
NM1,What would you most enjoy doing on a typical workday?,"Building something physical — machines, circuits, structures",Writing code and solving software problems,"Designing products, interfaces, or visual systems","Analysing data, solving complex mathematical problems",Mechanical/Civil / CS / Design / Data Science
NM2,"When something breaks at home, what is your first instinct?",Try to fix it yourself by understanding how it works,Look up solutions and test different approaches,Think about whether it could be designed better,Ignore it and call someone who knows,Core engg / Problem-solver / Design / Non-technical
NM3,Which project would you most enjoy in school?,Building a working robot or mechanical model,Creating an app or a website,"Designing a poster, logo, or 3D model",Analysing statistics and presenting findings,Mechanical/ECE / CS / Design / Analytics
NM4,How do you feel about JEE preparation (1–2 years of intense study)?,I am already preparing / fully committed to JEE,I gave it a try but did not qualify / moving on,I prefer to skip JEE and take a direct B.Sc route,I want a defence or government path after 12th,IIT/NIT / State engg / B.Sc / NDA
NM5,"If you could work on any of these real-world problems, which excites you most?","Building bridges, smart cities, or clean energy systems","Building AI, apps, or cybersecurity systems","Designing cars, aircraft, or consumer products",Solving climate change through science and research,Civil/Mech / CS/ECE / Product design / Research
NM6,"How do you feel about fieldwork — going to construction sites, factories, or outdoor locations?","I love it — I want a hands-on, on-the-ground career","Sometimes fine, but I prefer mostly office/lab work","I prefer fully indoor, desk-based, or remote work",I want to serve the country through defence,Civil/Mech/EEE / Mixed / CS/IT / NDA/AFCAT
NM7,Which technology area do you find most fascinating?,"Space, satellites, or aviation technology","AI, machine learning, and data",Medical devices and biomedical engineering,Renewable energy and electric vehicles,Aerospace / CS-AI / Biomedical Engg / EE/EV
NM8,How important is salary in the first 2 years of your career?,Very important — I need to support my family quickly,Important but I am okay with 1–2 years of low pay,Not a priority — I will go for higher studies first,I want a govt job with stable pay from day one,Industry-first / Core engg / M.Tech/MS / Govt PSU
NM9,What best describes your relationship with mathematics?,I genuinely love maths — it is my strongest subject,I am decent at maths but biology or computing is stronger,I find applied maths okay but pure theory bores me,I prefer logic and reasoning over number crunching,IIT-level / B.Sc / Applied Engg / CS/Infra
NM10,What is your family's approximate annual income?,Below ₹2.5 lakh,₹2.5 lakh – ₹6 lakh,₹6 lakh – ₹12 lakh,Above ₹12 lakh,Scholarship eligibility filter for Gemini
,,,,,,
STREAM 3 — COMMERCE (shown after student selects Commerce stream),,,,,,
Q #,Question,Option A,Option B,Option C,Option D,Maps To Trait
C1,Which activity would you enjoy most as a career?,Auditing company accounts and catching financial fraud,"Managing a team, business, or organisation",Advising clients in court on legal and corporate matters,Analysing stock markets and investment strategies,CA/CMA / MBA-Mgmt / Law / CFA/Finance
C2,"When you read business news, what catches your attention most?","Company balance sheets, taxation, and auditing news","Startup funding, mergers, and leadership stories","Legal cases, regulatory changes, court verdicts","Stock market movements, RBI policy, global economy",CA/CMA/CS / MBA / Law / Economics/CFA
C3,How do you handle uncertainty and risk?,I prefer certainty — give me clear rules and processes,I enjoy calculated risks and managing them smartly,"I love high-risk, high-reward — I want to build something",I want a stable government job above everything,CA/CS / MBA Finance / Entrepreneur / Banking/SSC
C4,What kind of people do you enjoy working with most?,"Numbers, data, spreadsheets, financial statements","Teams, clients, negotiations, and presentations","Documents, legal texts, contracts, and regulations","Graphs, economic trends, statistics, and models",Accounting/Finance / Management / Law / Economics
C5,"How do you feel about the CA journey — 4–5 years, very low pass rates (~10%)?",I am determined — CA is my target no matter what,I want a professional course but something more achievable,I prefer a degree route (BBA/B.Com) over exams,"I want a govt banking/finance job, not a professional course",CA / CMA/CS / Degree / Banking
C6,Imagine you are running a business. What is your biggest strength?,I keep the books perfect and tax compliant,I inspire the team and grow the business,I make sure contracts are airtight and legal,I spot investment opportunities and manage money,CA/CMA / MBA-Mktg/HR / Law / CFA/Finance
C7,Which of these roles sounds most exciting to you in 10 years?,CFO or senior auditor at a big company,"CEO, Director, or startup founder",Senior advocate or in-house legal counsel,"Fund manager, economist, or investment banker",CA/CMA / MBA / Law / CFA-Finance
C8,How important is earning early (before 25) to you?,Very important — I will do B.Com + professional exams together,Somewhat — I am okay with 3–4 years of investment,Not urgent — I will do MBA after graduation,I want a govt job by 23–24 via banking exams,B.Com+CA / MBA / Post-grad MBA / Banking
C9,Which subject in school commerce did you love most?,"Accountancy — making balance sheets, trial balance","Business Studies — management, marketing, leadership","Economics — demand-supply, GDP, monetary policy",Mathematics / Statistics — calculations and data,CA/CMA / MBA / Economics/IAS / CFA/Data
C10,What is your family's approximate annual income?,Below ₹2.5 lakh,₹2.5 lakh – ₹6 lakh,₹6 lakh – ₹12 lakh,Above ₹12 lakh,Scholarship eligibility filter for Gemini
,,,,,,
STREAM 4 — ARTS / HUMANITIES (shown after student selects Arts stream),,,,,,
Q #,Question,Option A,Option B,Option C,Option D,Maps To Trait
A1,What do you most want to do with your life?,Lead and serve — I want to be a civil servant or administrator,"Express and create — writing, design, film, or media","Understand and heal — psychology, counselling, social work","Argue and protect — law, justice, human rights",UPSC/IAS / Creative fields / Psychology-SW / Law
A2,Which of these activities would you do even without being paid?,"Reading history, political science, and current affairs","Writing stories, making videos, or designing posters",Listening to people's problems and helping them,"Debating, arguing, and finding logical loopholes",Civil services / Media-Design / Psychology / Law
A3,"How do you feel about the UPSC journey — 3–6 years, very low selection rate?",I am fully committed — UPSC is my dream,"I will try for 2 years, and if not, explore other govt exams",I prefer a quicker creative or professional career,I want a stable teaching or social sector job,UPSC / State PCS / Creative / Teaching-NGO
A4,"When you consume media (news, movies, social), what do you most feel like doing?",Analysing and critiquing the information and its impact,"Creating — making your own content, stories, or art",Understanding the human emotions and stories behind it,Examining the ethical and legal dimensions of issues,Journalism-Policy / Media-Design / Psychology / Law
A5,"In a group, what role do you naturally take?","The one who plans, leads, and takes responsibility",The one who brings creative ideas and energy,"The one who listens, mediates, and keeps peace","The one who challenges, debates, and pushes for fairness",Admin-Leadership / Creative / Counsellor / Law
A6,Which of these would you find most fulfilling?,Being an IAS officer who transforms a district,Making a film or writing a book that changes minds,Running an NGO that helps underprivileged communities,Winning a landmark legal case that sets a new precedent,UPSC / Creative / Social Work / Law
A7,How do you feel about government / public sector work?,"It is my first choice — power, prestige, and service",It is a backup — I prefer the private or creative sector,I want to work in civil society between govt and community,I want legal authority — judicial or regulatory work,UPSC-IAS / Private sector / NGO / Law-Judiciary
A8,Which subject do you find most effortless to study?,"History, polity, geography, and current affairs","Literature, fine arts, or languages","Psychology, sociology, or philosophy","Political science, economics, or legal studies",UPSC / Arts-Design / Psychology / Law-Economics
A9,Where do you see yourself working — location preference?,Anywhere in India — I am ready to move for a govt post,"A major metro — Mumbai, Delhi, Bengaluru for creative work",I prefer to work near home or my community,Any city with good courts or legal infrastructure,UPSC/IAS / Metro creative / Local-NGO / Law
A10,What is your family's approximate annual income?,Below ₹2.5 lakh,₹2.5 lakh – ₹6 lakh,₹6 lakh – ₹12 lakh,Above ₹12 lakh,Scholarship eligibility filter for Gemini